"Pathway1","Pathway2","Corr"
"BIOCARTA_RANBP2_PATHWAY","BIOCARTA_VDR_PATHWAY",0.604885335678014
"BIOCARTA_RANBP2_PATHWAY","BIOCARTA_CARM_ER_PATHWAY",0.601428377333114
"BIOCARTA_RANBP2_PATHWAY","BIOCARTA_TERC_PATHWAY",0.585156567295566
"BIOCARTA_IRES_PATHWAY","BIOCARTA_EIF_PATHWAY",0.74723005691631
"BIOCARTA_IRES_PATHWAY","BIOCARTA_MTOR_PATHWAY",0.704781988943871
"BIOCARTA_IRES_PATHWAY","BIOCARTA_EIF4_PATHWAY",0.558166448534798
"BIOCARTA_IRES_PATHWAY","BIOCARTA_NPC_PATHWAY",0.511236032353705
"BIOCARTA_IRES_PATHWAY","BIOCARTA_VEGF_PATHWAY",0.489734065395833
"BIOCARTA_PLC_PATHWAY","BIOCARTA_PAR1_PATHWAY",0.717434386472391
"BIOCARTA_PLC_PATHWAY","BIOCARTA_ERK5_PATHWAY",0.604528828537936
"BIOCARTA_PLC_PATHWAY","BIOCARTA_TRKA_PATHWAY",0.601281100369927
"BIOCARTA_PLC_PATHWAY","BIOCARTA_GH_PATHWAY",0.591445410960683
"BIOCARTA_PLC_PATHWAY","BIOCARTA_HDAC_PATHWAY",0.582547763062555
"BIOCARTA_BBCELL_PATHWAY","BIOCARTA_ASBCELL_PATHWAY",0.963904227890709
"BIOCARTA_BBCELL_PATHWAY","BIOCARTA_BLYMPHOCYTE_PATHWAY",0.849040333573552
"BIOCARTA_BBCELL_PATHWAY","BIOCARTA_IL5_PATHWAY",0.803840817993002
"BIOCARTA_BBCELL_PATHWAY","BIOCARTA_TH1TH2_PATHWAY",0.793139583359498
"BIOCARTA_BBCELL_PATHWAY","BIOCARTA_EOSINOPHILS_PATHWAY",0.765602463164503
"BIOCARTA_CDC25_PATHWAY","BIOCARTA_RB_PATHWAY",0.9199584549674
"BIOCARTA_CDC25_PATHWAY","BIOCARTA_G2_PATHWAY",0.877946381714704
"BIOCARTA_CDC25_PATHWAY","BIOCARTA_SRCRPTP_PATHWAY",0.746069201946492
"BIOCARTA_CDC25_PATHWAY","BIOCARTA_ATRBRCA_PATHWAY",0.733509457003946
"BIOCARTA_CDC25_PATHWAY","BIOCARTA_MCM_PATHWAY",0.725859244657124
"BIOCARTA_DSP_PATHWAY","BIOCARTA_FOSB_PATHWAY",0.37308101094009
"BIOCARTA_DSP_PATHWAY","BIOCARTA_ERBB3_PATHWAY",0.342548038491338
"BIOCARTA_DSP_PATHWAY","BIOCARTA_NUCLEARRS_PATHWAY",0.334535312253573
"BIOCARTA_DSP_PATHWAY","BIOCARTA_RAB_PATHWAY",0.322809954208385
"BIOCARTA_DSP_PATHWAY","BIOCARTA_ARENRF2_PATHWAY",0.321952981542101
"BIOCARTA_NPC_PATHWAY","BIOCARTA_RANMS_PATHWAY",0.834537143523712
"BIOCARTA_NPC_PATHWAY","BIOCARTA_RAN_PATHWAY",0.819730142821665
"BIOCARTA_NPC_PATHWAY","BIOCARTA_MCM_PATHWAY",0.747686295700616
"BIOCARTA_NPC_PATHWAY","BIOCARTA_SM_PATHWAY",0.689396791349359
"BIOCARTA_NPC_PATHWAY","BIOCARTA_BARD1_PATHWAY",0.663960628559091
"BIOCARTA_FLUMAZENIL_PATHWAY","BIOCARTA_GABA_PATHWAY",0.362111151177448
"BIOCARTA_FLUMAZENIL_PATHWAY","BIOCARTA_SLRP_PATHWAY",0.254761436789931
"BIOCARTA_FLUMAZENIL_PATHWAY","BIOCARTA_ETC_PATHWAY",0.243636716104905
"BIOCARTA_FLUMAZENIL_PATHWAY","BIOCARTA_NO1_PATHWAY",0.242158400134511
"BIOCARTA_FLUMAZENIL_PATHWAY","BIOCARTA_REELIN_PATHWAY",0.238399121883471
"BIOCARTA_MELANOCYTE_PATHWAY","BIOCARTA_BAD_PATHWAY",0.488809578982329
"BIOCARTA_MELANOCYTE_PATHWAY","BIOCARTA_CREB_PATHWAY",0.374404910816402
"BIOCARTA_MELANOCYTE_PATHWAY","BIOCARTA_PPARG_PATHWAY",0.349130954526505
"BIOCARTA_MELANOCYTE_PATHWAY","BIOCARTA_DICER_PATHWAY",0.320806855239909
"BIOCARTA_MELANOCYTE_PATHWAY","BIOCARTA_CARM1_PATHWAY",0.320027143627334
"BIOCARTA_S1P_PATHWAY","BIOCARTA_FXR_PATHWAY",0.284247017319458
"BIOCARTA_S1P_PATHWAY","BIOCARTA_ERK_PATHWAY",0.283382022610457
"BIOCARTA_S1P_PATHWAY","BIOCARTA_PS1_PATHWAY",0.274543378354171
"BIOCARTA_S1P_PATHWAY","BIOCARTA_MALATEX_PATHWAY",0.268383553761997
"BIOCARTA_S1P_PATHWAY","BIOCARTA_TFF_PATHWAY",0.265890709104372
"BIOCARTA_HBX_PATHWAY","BIOCARTA_ERK5_PATHWAY",0.550080004575204
"BIOCARTA_HBX_PATHWAY","BIOCARTA_TRKA_PATHWAY",0.53468546787101
"BIOCARTA_HBX_PATHWAY","BIOCARTA_IGF1_PATHWAY",0.512852629109443
"BIOCARTA_HBX_PATHWAY","BIOCARTA_MET_PATHWAY",0.500829653573686
"BIOCARTA_HBX_PATHWAY","BIOCARTA_IGF1R_PATHWAY",0.49958587776378
"BIOCARTA_MALATEX_PATHWAY","BIOCARTA_KREB_PATHWAY",0.567656360923344
"BIOCARTA_MALATEX_PATHWAY","BIOCARTA_ETC_PATHWAY",0.506464431847225
"BIOCARTA_MALATEX_PATHWAY","BIOCARTA_PROTEASOME_PATHWAY",0.337497002250987
"BIOCARTA_MALATEX_PATHWAY","BIOCARTA_FEEDER_PATHWAY",0.312365415804115
"BIOCARTA_MALATEX_PATHWAY","BIOCARTA_P27_PATHWAY",0.307576378544126
"BIOCARTA_TSP1_PATHWAY","BIOCARTA_CARDIACEGF_PATHWAY",0.495861099440331
